IN|OUT|WIP|mail room_Processed|mail room_WIP|PFR check_Processed|PFR check_WIP|Analyst_Processed|Analyst_WIP|Pay_Processed|Pay_WIP
4|2|249|3|4|3|242|0|3|2|0
2|0|251|4|2|0|246|3|0|0|3
4|3|252|2|4|3|245|0|3|3|0
5|0|257|4|5|4|245|3|4|0|3
6|3|260|5|6|4|246|4|4|3|4
4|4|260|6|4|4|248|4|4|4|4
2|4|258|4|2|2|250|4|2|4|4
4|4|258|2|4|2|250|2|2|4|2
4|2|260|4|4|2|252|2|2|2|2
3|2|261|4|3|3|253|2|3|2|2
3|2|262|3|3|4|252|3|4|2|3
6|3|265|3|6|2|253|4|2|3|4
4|4|265|6|4|2|257|2|2|4|2
5|2|268|4|5|4|257|2|4|2|2
5|2|271|5|5|0|262|4|0|2|4
5|4|272|5|5|3|264|0|3|4|0
1|0|273|5|1|3|266|3|3|0|3
4|3|274|1|4|4|263|3|4|3|3
5|3|276|4|5|3|264|4|3|3|4
5|4|277|5|5|3|266|3|3|4|3
1|3|275|5|1|4|267|3|4|3|3
5|3|277|1|5|2|266|4|2|3|4
4|4|277|5|4|0|271|2|0|4|2
3|2|278|4|3|4|271|0|4|2|0
2|0|280|3|2|0|274|4|0|0|4
3|4|279|2|3|4|272|0|4|4|0
2|0|281|3|2|3|272|4|3|0|4
4|4|281|2|4|0|274|3|0|4|3
4|3|282|4|4|3|275|0|3|3|0
3|0|285|4|3|1|278|3|1|0|3
4|3|286|3|4|0|281|1|0|3|1
3|1|288|4|3|1|284|0|1|1|0
2|0|290|3|2|2|285|1|2|0|1
4|1|293|2|4|1|286|2|1|1|2
6|2|297|4|6|3|287|1|3|2|1
5|1|301|6|5|2|291|3|2|1|3
6|3|304|5|6|1|295|2|1|3|2
4|2|306|5|5|0|300|1|0|2|1
6|1|311|5|6|3|302|0|3|1|0
1|0|312|5|2|4|303|3|4|0|3
1|3|310|2|1|2|303|4|2|3|4
6|4|312|1|6|1|303|2|1|4|2
2|2|312|5|3|1|307|1|1|2|1
5|1|316|3|5|4|306|1|4|1|1
2|1|317|5|2|4|307|4|4|1|4
3|4|316|2|3|0|309|4|0|4|4
4|4|316|3|4|2|310|0|2|4|0
5|0|321|4|5|2|312|2|2|0|2
1|2|320|5|1|2|315|2|2|2|2
2|2|320|1|2|1|315|2|1|2|2
5|2|323|2|5|3|314|1|3|2|1
5|1|327|5|5|0|319|3|0|1|3
3|3|327|5|3|4|320|0|4|3|0
3|0|330|3|3|3|320|4|3|0|4
5|4|331|3|5|1|322|3|1|4|3
2|3|330|5|2|3|324|1|3|3|1
6|1|335|2|6|3|323|3|3|1|3
4|3|336|6|4|1|328|3|1|3|3
3|3|336|4|3|1|331|1|1|3|1
