IN|OUT|WIP|mail room_Processed|mail room_WIP|PFR check_Processed|PFR check_WIP|Analyst_Processed|Analyst_WIP|Pay_Processed|Pay_WIP
4|2|130|6|76|5|11|5|20|2|23
4|6|128|1|79|1|11|6|15|6|23
4|2|130|1|82|1|11|1|15|2|22
4|2|132|4|82|5|10|6|14|2|26
4|6|130|2|84|2|10|1|15|6|21
4|2|132|2|86|5|7|4|16|2|23
4|6|130|5|85|6|6|3|19|6|20
4|2|132|3|86|4|5|2|21|2|20
4|1|135|3|87|5|3|1|25|1|20
4|1|138|2|89|3|2|6|22|1|25
4|2|140|1|92|2|1|3|21|2|26
4|1|143|2|94|1|2|3|19|1|28
4|2|145|3|95|2|3|5|16|2|31
4|1|148|6|93|3|6|4|15|1|34
4|3|149|2|95|1|7|6|10|3|37
4|5|148|3|96|1|9|2|9|5|34
4|5|147|2|98|4|7|1|12|5|30
4|1|150|2|100|5|4|2|15|1|31
4|4|150|1|103|4|1|1|18|4|28
4|2|152|6|101|1|6|2|17|2|28
4|5|151|1|104|5|2|5|17|5|28
4|1|154|4|104|2|4|5|14|1|32
4|6|152|1|107|4|1|2|16|6|28
4|3|153|3|108|1|3|5|12|3|30
4|2|155|4|108|1|6|4|9|2|32
4|5|154|4|108|3|7|1|11|5|28
4|2|156|2|110|1|8|1|11|2|27
4|4|156|2|112|4|6|6|9|4|29
4|1|159|3|113|5|4|2|12|1|30
4|2|161|2|115|4|2|2|14|2|30
4|4|161|6|113|2|6|2|14|4|28
4|5|160|1|116|2|5|2|14|5|25
4|5|159|6|114|3|8|5|12|5|25
4|5|158|2|116|6|4|5|13|5|25
4|3|159|4|116|2|6|6|9|3|28
4|4|159|6|114|2|10|6|5|4|30
4|6|157|2|116|5|7|5|5|6|29
4|2|159|5|115|3|9|3|5|2|30
4|4|159|6|113|3|12|4|4|4|30
4|6|157|4|113|5|11|1|8|6|25
4|5|156|6|111|6|11|1|13|5|21
4|6|154|5|110|4|12|1|16|6|16
4|6|152|5|109|4|13|1|19|6|11
4|6|150|3|110|3|13|2|20|6|7
4|2|152|3|111|6|10|5|21|2|10
4|2|154|2|113|5|7|5|21|2|13
4|6|152|2|115|4|5|2|23|6|9
4|1|155|5|114|4|6|5|22|1|13
4|3|156|4|114|5|5|4|23|3|14
4|1|159|1|117|5|1|1|27|1|14
4|5|158|2|119|1|2|2|26|5|11
4|3|159|1|122|2|1|4|24|3|12
4|6|157|5|121|1|5|1|24|6|7
4|6|155|4|121|1|8|2|23|6|3
4|3|156|5|120|2|11|3|22|3|3
4|1|159|5|119|5|11|6|21|1|8
4|4|159|6|117|4|13|4|21|4|8
4|4|159|4|117|6|11|4|23|4|8
4|5|158|4|117|6|9|4|25|5|7
